STNAME,CTYNAME,POPESTIMATE2023
California,Placer County,423561
California,Plumas County,19131
California,Riverside County,2492442
California,Sacramento County,1584288
California,San Benito County,68175
California,San Bernardino County,2195611
California,San Diego County,3269973
California,San Francisco County,808988
California,San Joaquin County,800965
California,San Luis Obispo County,281639
California,San Mateo County,726353
California,Santa Barbara County,441257
California,Santa Clara County,1877592
California,Santa Cruz County,261547
California,Shasta County,180366
California,Sierra County,3200
California,Siskiyou County,42905
California,Solano County,449218
California,Sonoma County,481812
California,Stanislaus County,551430
California,Sutter County,97948
California,Tehama County,64896
California,Trinity County,15670
California,Tulare County,479468
California,Tuolumne County,54204
California,Ventura County,829590
California,Yolo County,220544
California,Yuba County,85722
Colorado,Adams County,533365
Colorado,Alamosa County,16655
Colorado,Arapahoe County,656061
Colorado,Archuleta County,14189
Colorado,Baca County,3344
Colorado,Bent County,5681
Colorado,Boulder County,326831
Colorado,Broomfield County,76860
Colorado,Chaffee County,20617
Colorado,Cheyenne County,1727
Colorado,Clear Creek County,9147
Colorado,Conejos County,7521
Colorado,Costilla County,3628
Colorado,Crowley County,5636
Colorado,Custer County,5534
Colorado,Delta County,31746
Colorado,Denver County,716577
Colorado,Dolores County,2513
Colorado,Douglas County,383906
Colorado,Eagle County,54381
Colorado,Elbert County,28806
Colorado,El Paso County,744215
Colorado,Fremont County,50318
Colorado,Garfield County,62707
Colorado,Gilpin County,5926
Colorado,Grand County,15935
Colorado,Gunnison County,17321
Colorado,Hinsdale County,765
Colorado,Huerfano County,7055
Colorado,Jackson County,1309
Colorado,Jefferson County,576366
Colorado,Kiowa County,1384
Colorado,Kit Carson County,6994
Colorado,Lake County,7365
Colorado,La Plata County,56407
Colorado,Larimer County,370771
Colorado,Las Animas County,14348
Colorado,Lincoln County,5480
Colorado,Logan County,20619
Colorado,Mesa County,159681
Colorado,Mineral County,944
Colorado,Moffat County,13327
Colorado,Montezuma County,26531
Colorado,Montrose County,44156
Colorado,Morgan County,29524
Colorado,Otero County,18136
Colorado,Ouray County,5176
Colorado,Park County,18117
Colorado,Phillips County,4476
Colorado,Pitkin County,16640
Colorado,Prowers County,11751
Colorado,Pueblo County,169422
Colorado,Rio Blanco County,6569
Colorado,Rio Grande County,11188
Colorado,Routt County,25064
Colorado,Saguache County,6688
Colorado,San Juan County,802
Colorado,San Miguel County,7868
Colorado,Sedgwick County,2299
Colorado,Summit County,30465
Colorado,Teller County,24617
Colorado,Washington County,4855
Colorado,Weld County,359442
Colorado,Yuma County,9862
Connecticut,Capitol Planning Region,975328
Connecticut,Greater Bridgeport Planning Region,327651
Connecticut,Lower Connecticut River Valley Planning Region,176215
Connecticut,Naugatuck Valley Planning Region,456128
Connecticut,Northeastern Connecticut Planning Region,96692
Connecticut,Northwest Hills Planning Region,113463
Connecticut,South Central Connecticut Planning Region,568158
Connecticut,Southeastern Connecticut Planning Region,279634
Connecticut,Western Connecticut Planning Region,623907
Delaware,Kent County,189789
Delaware,New Castle County,578592
Delaware,Sussex County,263509
Florida,Alachua County,285994
Florida,Baker County,28368
Florida,Bay County,190769
Florida,Bradford County,27858
Florida,Brevard County,643979
Florida,Broward County,1962531
Florida,Calhoun County,13470
Florida,Charlotte County,206134
Florida,Citrus County,166696
Florida,Clay County,232439
Florida,Collier County,404310
Florida,Columbia County,73063
Florida,DeSoto County,35979
Florida,Dixie County,17465
Florida,Duval County,1030822
Florida,Escambia County,326928
Florida,Flagler County,131439
Florida,Franklin County,12594
Florida,Gadsden County,43833
Florida,Gilchrist County,19587
Florida,Glades County,12786
Florida,Gulf County,15693
Florida,Hamilton County,13471
Florida,Hardee County,25760
Florida,Hendry County,43333
Florida,Hernando County,212807
Florida,Highlands County,107614
Florida,Hillsborough County,1535564
Florida,Holmes County,19944
Florida,Indian River County,169795
Florida,Jackson County,48622
Florida,Jefferson County,15450
Florida,Lafayette County,8078
Florida,Lake County,424462
Florida,Lee County,834573
Florida,Leon County,296913
Florida,Levy County,46545
Florida,Liberty County,7706
Florida,Madison County,18519
Florida,Manatee County,441095
Florida,Marion County,409959
Florida,Martin County,163315
Florida,Miami-Dade County,2686867
Florida,Monroe County,80614
Florida,Nassau County,101501
Florida,Okaloosa County,218464
Florida,Okeechobee County,41427
Florida,Orange County,1471416
Florida,Osceola County,437784
Florida,Palm Beach County,1533801
Florida,Pasco County,632996
Florida,Pinellas County,961596
Florida,Polk County,818330
Florida,Putnam County,75955
Florida,St. Johns County,320110
Florida,St. Lucie County,373586
Florida,Santa Rosa County,203162
Florida,Sarasota County,469013
Florida,Seminole County,484271
Florida,Sumter County,151565
Florida,Suwannee County,46130
Florida,Taylor County,21582
Florida,Union County,15532
Florida,Volusia County,590357
Florida,Wakulla County,36449
Florida,Walton County,86354
Florida,Washington County,25602
Georgia,Appling County,18457
Georgia,Atkinson County,8293
Georgia,Bacon County,11124
Georgia,Baker County,2743
Georgia,Baldwin County,43396
Georgia,Banks County,19789
Georgia,Barrow County,92792
Georgia,Bartow County,115041
Georgia,Ben Hill County,17128
Georgia,Berrien County,18570
Georgia,Bibb County,156512
Georgia,Bleckley County,12465
Georgia,Brantley County,18401
Georgia,Brooks County,16245
Georgia,Bryan County,49739
Georgia,Bulloch County,84327
Georgia,Burke County,24438
Georgia,Butts County,26887
Georgia,Calhoun County,5457
Georgia,Camden County,58118
Georgia,Candler County,11059
Georgia,Carroll County,127098
Georgia,Catoosa County,68910
Georgia,Charlton County,12934
Georgia,Chatham County,303655
Georgia,Chattahoochee County,8661
Georgia,Chattooga County,25222
Georgia,Cherokee County,286602
Georgia,Clarke County,129933
Georgia,Clay County,2853
Georgia,Clayton County,298300
Georgia,Clinch County,6746
Georgia,Cobb County,776743
Georgia,Coffee County,43317
Georgia,Colquitt County,46167
Georgia,Columbia County,165162
Georgia,Cook County,17714
Georgia,Coweta County,155892
Georgia,Crawford County,12277
Georgia,Crisp County,19631
Georgia,Dade County,16165
Georgia,Dawson County,31732
Georgia,Decatur County,29087
Georgia,DeKalb County,762992
Georgia,Dodge County,19776
Georgia,Dooly County,10981
Georgia,Dougherty County,82645
Georgia,Douglas County,149160
Georgia,Early County,10563
Georgia,Echols County,3709
Georgia,Effingham County,71541
Georgia,Elbert County,20013
Georgia,Emanuel County,23119
Georgia,Evans County,10754
Georgia,Fannin County,25955
Georgia,Fayette County,123351
Georgia,Floyd County,100113
Georgia,Forsyth County,272887
Georgia,Franklin County,24782
Georgia,Fulton County,1079105
Georgia,Gilmer County,32860
Georgia,Glascock County,2954
Georgia,Glynn County,86172
Georgia,Gordon County,59757
Georgia,Grady County,26066
Georgia,Greene County,20722
Georgia,Gwinnett County,983526
Georgia,Habersham County,48757
Georgia,Hall County,217267
Georgia,Hancock County,8676
Georgia,Haralson County,32038
Georgia,Harris County,36654
Georgia,Hart County,27556
Georgia,Heard County,12034
Georgia,Henry County,254613
Georgia,Houston County,171974
Georgia,Irwin County,9120
Georgia,Jackson County,88615
Georgia,Jasper County,16455
Georgia,Jeff Davis County,14906
Georgia,Jefferson County,15183
Georgia,Jenkins County,8627
Georgia,Johnson County,9282
Georgia,Jones County,28969
Georgia,Lamar County,20401
Georgia,Lanier County,10452
Georgia,Laurens County,49941
Georgia,Lee County,33872
Georgia,Liberty County,69210
Georgia,Lincoln County,7879
Georgia,Long County,19594
Georgia,Lowndes County,120712
Georgia,Lumpkin County,35258
Georgia,McDuffie County,21799
Georgia,McIntosh County,11501
Georgia,Macon County,11817
Georgia,Madison County,32191
Georgia,Marion County,7440
Georgia,Meriwether County,20931
Georgia,Miller County,5747
Georgia,Mitchell County,21114
Georgia,Monroe County,30625
Georgia,Montgomery County,8761
Georgia,Morgan County,21460
Georgia,Murray County,41035
Georgia,Muscogee County,201877
Georgia,Newton County,120135
Georgia,Oconee County,44182
Georgia,Oglethorpe County,15754
Georgia,Paulding County,183164
Georgia,Peach County,28805
Georgia,Pickens County,35969
Georgia,Pierce County,20425
Georgia,Pike County,20461
Georgia,Polk County,44223
Georgia,Pulaski County,10095
Georgia,Putnam County,23129
Georgia,Quitman County,2280
Georgia,Rabun County,17442
Georgia,Randolph County,6078
Georgia,Richmond County,205414
Georgia,Rockdale County,95987
Georgia,Schley County,4526
Georgia,Screven County,14174
Georgia,Seminole County,9092
Georgia,Spalding County,69946
Georgia,Stephens County,27228
Georgia,Stewart County,4674
Georgia,Sumter County,28890
Georgia,Talbot County,5718
Georgia,Taliaferro County,1609
Georgia,Tattnall County,24296
Georgia,Taylor County,7758
Georgia,Telfair County,10920
Georgia,Terrell County,8718
Georgia,Thomas County,45649
Georgia,Tift County,41554
Georgia,Toombs County,27040
Georgia,Towns County,13035
Georgia,Treutlen County,6341
Georgia,Troup County,70742
Georgia,Turner County,8909
Georgia,Twiggs County,7691
Georgia,Union County,27124
Georgia,Upson County,28263
Georgia,Walker County,69489
Georgia,Walton County,106702
Georgia,Ware County,36243
Georgia,Warren County,5106
Georgia,Washington County,19820
Georgia,Wayne County,31373
Georgia,Webster County,2337
Georgia,Wheeler County,7081
Georgia,White County,29026
Georgia,Whitfield County,103687
Georgia,Wilcox County,8779
