STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
Idaho,Shoshone County,13199,13615,13935,14026
Idaho,Teton County,11735,12273,12519,12549
Idaho,Twin Falls County,90372,92394,93821,95156
Idaho,Valley County,11842,12256,12450,12644
Idaho,Washington County,10558,10900,11147,11425
Illinois,Adams County,65614,65064,64556,64441
Illinois,Alexander County,5169,5025,4841,4695
Illinois,Bond County,16684,16623,16536,16450
Illinois,Boone County,53343,53173,53068,53202
Illinois,Brown County,6227,6432,6316,6294
Illinois,Bureau County,33191,32959,32827,32729
Illinois,Calhoun County,4407,4395,4353,4317
Illinois,Carroll County,15672,15702,15579,15526
Illinois,Cass County,12991,12790,12638,12596
Illinois,Champaign County,205654,206605,206169,205644
Illinois,Christian County,33960,33703,33390,33228
Illinois,Clark County,15429,15352,15160,15088
Illinois,Clay County,13273,13163,13077,12999
Illinois,Clinton County,36901,36882,36937,36785
Illinois,Coles County,46760,46802,46346,46060
Illinois,Cook County,5263608,5180919,5111566,5087072
Illinois,Crawford County,18651,18684,18495,18300
Illinois,Cumberland County,10433,10352,10308,10261
Illinois,DeKalb County,100269,100482,100223,100288
Illinois,De Witt County,15461,15403,15365,15365
Illinois,Douglas County,19764,19694,19667,19629
Illinois,DuPage County,931317,926848,921664,921213
Illinois,Edgar County,16786,16576,16385,16334
Illinois,Edwards County,6208,6084,6058,5968
Illinois,Effingham County,34703,34508,34300,34331
Illinois,Fayette County,21490,21438,21270,21164
Illinois,Ford County,13513,13479,13256,13250
Illinois,Franklin County,37697,37459,37215,37138
Illinois,Fulton County,33487,33275,32935,32541
Illinois,Gallatin County,4935,4895,4823,4670
Illinois,Greene County,11936,11847,11640,11543
Illinois,Grundy County,52516,52959,53149,53578
Illinois,Hamilton County,7999,7913,7981,7911
Illinois,Hancock County,17543,17376,17254,17186
Illinois,Hardin County,3642,3635,3572,3569
Illinois,Henderson County,6335,6306,6168,6088
Illinois,Henry County,49167,48911,48596,48448
Illinois,Iroquois County,26984,26775,26493,26136
Illinois,Jackson County,52891,52604,52477,52141
Illinois,Jasper County,9241,9193,9172,9144
Illinois,Jefferson County,36995,36889,36419,36320
Illinois,Jersey County,21494,21349,21191,21091
Illinois,Jo Daviess County,22057,21972,21845,21756
Illinois,Johnson County,13318,13472,13391,13326
Illinois,Kane County,516181,516292,514139,514982
Illinois,Kankakee County,107264,106605,105998,105940
Illinois,Kendall County,132355,135015,137494,139976
Illinois,Knox County,49790,49310,48620,48411
Illinois,Lake County,713281,712570,709899,708760
Illinois,LaSalle County,109410,109160,108181,108309
Illinois,Lawrence County,15268,15228,14891,14813
Illinois,Lee County,34062,34195,33938,33654
Illinois,Livingston County,35792,35769,35517,35320
Illinois,Logan County,27912,27979,27666,27590
Illinois,McDonough County,27100,26880,26914,26839
Illinois,McHenry County,309882,311543,311558,312800
Illinois,McLean County,170949,171109,170918,170441
Illinois,Macon County,103752,102597,101333,100591
Illinois,Macoupin County,44856,44492,44123,44018
Illinois,Madison County,265643,264867,263572,262752
Illinois,Marion County,37652,37379,36905,36673
Illinois,Marshall County,11717,11668,11671,11683
Illinois,Mason County,13058,12830,12699,12523
Illinois,Massac County,14133,13946,13827,13661
Illinois,Menard County,12270,12167,12072,11954
Illinois,Mercer County,15632,15580,15533,15487
Illinois,Monroe County,34953,35004,35001,34957
Illinois,Montgomery County,28202,28082,27901,27663
Illinois,Morgan County,32845,32646,32298,32140
Illinois,Moultrie County,14481,14561,14375,14342
Illinois,Ogle County,51692,51464,51345,51265
Illinois,Peoria County,181319,179638,178000,177513
Illinois,Perry County,20886,21014,20512,20503
Illinois,Piatt County,16681,16757,16675,16714
Illinois,Pike County,14640,14621,14499,14342
Illinois,Pope County,3754,3758,3746,3707
Illinois,Pulaski County,5160,5075,4950,4911
Illinois,Putnam County,5630,5588,5553,5561
Illinois,Randolph County,30090,30204,30026,29815
Illinois,Richland County,15790,15767,15555,15488
Illinois,Rock Island County,144360,142923,141559,141236
Illinois,St. Clair County,256844,254958,252265,251018
Illinois,Saline County,23690,23316,23052,22873
Illinois,Sangamon County,196144,195371,194151,193491
Illinois,Schuyler County,6868,6831,6753,6733
Illinois,Scott County,4941,4849,4771,4710
Illinois,Shelby County,20919,20862,20710,20568
Illinois,Stark County,5382,5284,5313,5218
Illinois,Stephenson County,44503,44062,43556,43105
Illinois,Tazewell County,131086,130412,129610,129541
Illinois,Union County,17184,16921,16772,16667
Illinois,Vermilion County,74009,73164,72103,71652
Illinois,Wabash County,11318,11208,11040,10942
Illinois,Warren County,16821,16585,16360,16185
Illinois,Washington County,13723,13640,13623,13536
Illinois,Wayne County,16126,15956,15843,15761
Illinois,White County,13808,13758,13595,13401
Illinois,Whiteside County,55565,55302,54555,54498
Illinois,Will County,696826,699176,698046,700728
Illinois,Williamson County,67114,66883,66544,66706
Illinois,Winnebago County,284916,283333,281542,280922
Illinois,Woodford County,38413,38220,38177,38285
Indiana,Adams County,35849,35991,36151,36288
Indiana,Allen County,386103,389163,391644,394545
Indiana,Bartholomew County,82218,82729,83394,84003
Indiana,Benton County,8715,8686,8672,8729
Indiana,Blackford County,12105,12041,11919,11893
Indiana,Boone County,71137,73080,74309,76120
Indiana,Brown County,15485,15592,15587,15653
Indiana,Carroll County,20339,20525,20514,20525
Indiana,Cass County,37786,37558,37537,37666
Indiana,Clark County,121360,122895,124222,125467
Indiana,Clay County,26427,26394,26410,26460
Indiana,Clinton County,33178,32983,32769,32730
Indiana,Crawford County,10524,10491,10517,10438
Indiana,Daviess County,33357,33396,33496,33656
Indiana,Dearborn County,50750,50875,50900,51215
Indiana,Decatur County,26474,26353,26454,26399
Indiana,DeKalb County,43292,43395,43813,44198
Indiana,Delaware County,111762,112057,112163,112321
Indiana,Dubois County,43642,43565,43492,43546
Indiana,Elkhart County,206991,207054,206873,206409
Indiana,Fayette County,23359,23381,23389,23362
Indiana,Floyd County,80519,80595,80621,80809
Indiana,Fountain County,16492,16480,16620,16731
Indiana,Franklin County,22788,22889,23083,23096
Indiana,Fulton County,20469,20412,20368,20358
Indiana,Gibson County,33049,32965,33002,32904
Indiana,Grant County,66507,66188,65993,66200
Indiana,Greene County,30793,30862,31071,31196
Indiana,Hamilton County,348996,357620,365463,371645
Indiana,Hancock County,80180,81891,83117,86166
Indiana,Harrison County,39676,39805,39790,40006
Indiana,Hendricks County,175596,179800,183119,186387
Indiana,Henry County,48903,49024,48815,48929
Indiana,Howard County,83589,83650,83546,83831
Indiana,Huntington County,36646,36788,36800,36781
Indiana,Jackson County,46479,46224,46230,46460
Indiana,Jasper County,32908,33165,33345,33535
Indiana,Jay County,20474,20282,20118,20032
Indiana,Jefferson County,33100,33117,32936,33056
Indiana,Jennings County,27580,27513,27484,27622
Indiana,Johnson County,162237,164394,165686,167819
Indiana,Knox County,36256,35976,35876,36070
Indiana,Kosciusko County,80141,80237,80564,80364
Indiana,LaGrange County,40542,40527,40854,40907
Indiana,Lake County,498957,499257,499657,500598
Indiana,LaPorte County,112270,112513,111822,111706
Indiana,Lawrence County,45016,45066,45231,45084
Indiana,Madison County,130167,130841,131383,132504
Indiana,Marion County,976659,971543,969223,968460
Indiana,Marshall County,46071,46160,46378,46352
Indiana,Martin County,9809,9804,9827,9897
Indiana,Miami County,35906,35999,35546,35402
Indiana,Monroe County,139585,140176,139621,139342
Indiana,Montgomery County,37935,38057,38319,38573
Indiana,Morgan County,71836,72275,72260,73227
Indiana,Newton County,13799,13820,13839,13960
Indiana,Noble County,47460,47392,47234,47430
Indiana,Ohio County,5928,5994,6097,6004
Indiana,Orange County,19850,19806,19601,19638
Indiana,Owen County,21318,21514,21487,21532
Indiana,Parke County,16150,16486,16367,16484
Indiana,Perry County,19155,19334,19207,19209
Indiana,Pike County,12249,12170,12143,12106
Indiana,Porter County,173318,174551,174848,175335
Indiana,Posey County,25185,25165,25098,25040
Indiana,Pulaski County,12515,12360,12449,12385
Indiana,Putnam County,36689,37043,37294,37567
Indiana,Randolph County,24415,24409,24350,24216
Indiana,Ripley County,28980,29015,29030,29227
Indiana,Rush County,16763,16679,16672,16847
Indiana,St. Joseph County,272682,272286,272282,272848
Indiana,Scott County,24377,24422,24500,24657
Indiana,Shelby County,45060,45101,45189,45231
Indiana,Spencer County,19833,19841,19849,19910
Indiana,Starke County,23396,23373,23203,23206
Indiana,Steuben County,34441,34702,34772,34917
Indiana,Sullivan County,20812,20777,20671,20757
Indiana,Switzerland County,9748,9869,10009,10019
Indiana,Tippecanoe County,186387,187423,188237,188792
Indiana,Tipton County,15392,15394,15325,15256
Indiana,Union County,7082,7018,6967,6973
Indiana,Vanderburgh County,180336,180165,179563,179810
Indiana,Vermillion County,15409,15435,15433,15417
Indiana,Vigo County,106130,106116,106082,106153
Indiana,Wabash County,30934,30893,30842,30670
Indiana,Warren County,8423,8449,8488,8518
Indiana,Warrick County,63996,64657,65231,65867
Indiana,Washington County,28238,28138,28171,28205
Indiana,Wayne County,66507,66435,66216,66127
Indiana,Wells County,28155,28154,28298,28555
Indiana,White County,24673,24643,24660,24917
Indiana,Whitley County,34329,34470,34577,34742
Iowa,Adair County,7493,7524,7457,7389
Iowa,Adams County,3709,3638,3601,3544
Iowa,Allamakee County,14071,13968,14018,14074
Iowa,Appanoose County,12287,12269,12141,12119
Iowa,Audubon County,5683,5645,5575,5534
Iowa,Benton County,25549,25738,25742,25796
Iowa,Black Hawk County,131044,130576,130052,130471
Iowa,Boone County,26698,26761,26579,26590
Iowa,Bremer County,25011,25118,25254,25307
Iowa,Buchanan County,20605,20703,20689,20691
Iowa,Buena Vista County,20806,20790,20644,20567
Iowa,Butler County,14333,14348,14246,14172
Iowa,Calhoun County,9900,9895,9725,9763
Iowa,Carroll County,20726,20740,20541,20522
Iowa,Cass County,13123,13089,13137,13130
Iowa,Cedar County,18495,18436,18353,18302
Iowa,Cerro Gordo County,43022,42761,42426,42406
Iowa,Cherokee County,11656,11535,11490,11605
Iowa,Chickasaw County,11988,11883,11728,11658
Iowa,Clarke County,9737,9756,9643,9588
Iowa,Clay County,16336,16454,16507,16511
Iowa,Clayton County,17033,17053,17057,16969
Iowa,Clinton County,46427,46483,46255,46158
Iowa,Crawford County,16484,16232,16129,16013
Iowa,Dallas County,100536,104174,108146,111092
Iowa,Davis County,9111,9150,9147,9169
Iowa,Decatur County,7606,7668,7695,7665
Iowa,Delaware County,17458,17553,17607,17600
Iowa,Des Moines County,38823,38506,38242,38253
Iowa,Dickinson County,17767,17868,18048,18056
Iowa,Dubuque County,99308,98854,98715,98887
Iowa,Emmet County,9347,9334,9214,9229
Iowa,Fayette County,19445,19295,19266,19210
Iowa,Floyd County,15604,15465,15348,15326
Iowa,Franklin County,10002,9952,9946,9875
Iowa,Fremont County,6566,6583,6475,6458
Iowa,Greene County,8752,8724,8710,8584
Iowa,Grundy County,12333,12358,12355,12384
Iowa,Guthrie County,10612,10588,10681,10722
Iowa,Hamilton County,15008,14863,14803,14729
Iowa,Hancock County,10754,10680,10651,10615
Iowa,Hardin County,16828,16702,16614,16463
Iowa,Harrison County,14569,14690,14680,14670
Iowa,Henry County,20447,20382,20253,19547
Iowa,Howard County,9489,9496,9509,9376
Iowa,Humboldt County,9599,9630,9521,9500
Iowa,Ida County,7022,6969,6905,6833
Iowa,Iowa County,16658,16586,16497,16381
Iowa,Jackson County,19455,19399,19346,19342
Iowa,Jasper County,37810,37874,37949,37919
Iowa,Jefferson County,15694,15781,15668,15440
Iowa,Johnson County,153056,155035,156915,157528
Iowa,Jones County,20653,20826,20949,20900
Iowa,Keokuk County,10004,9902,9883,9914
Iowa,Kossuth County,14799,14515,14465,14396
Iowa,Lee County,33533,33257,32829,32565
Iowa,Linn County,230419,229445,228940,228972
Iowa,Louisa County,10814,10724,10617,10513
Iowa,Lucas County,8618,8706,8702,8747
Iowa,Lyon County,11930,12040,12177,12324
Iowa,Madison County,16629,16793,17040,16971
Iowa,Mahaska County,22160,21974,21971,21874
Iowa,Marion County,33414,33441,33630,33770
Iowa,Marshall County,40096,39913,39821,40014
Iowa,Mills County,14398,14467,14535,14633
Iowa,Mitchell County,10597,10563,10544,10518
Iowa,Monona County,8742,8598,8506,8493
Iowa,Monroe County,7593,7581,7530,7504
Iowa,Montgomery County,10333,10316,10210,10139
Iowa,Muscatine County,43143,42674,42395,42218
Iowa,O'Brien County,14150,14044,14085,14012
Iowa,Osceola County,6198,6170,6072,5978
Iowa,Page County,15190,15220,15176,15014
Iowa,Palo Alto County,8986,8923,8790,8810
Iowa,Plymouth County,25692,25731,25722,25722
Iowa,Pocahontas County,7065,7039,7073,6976
Iowa,Polk County,493022,497842,501184,505255
Iowa,Pottawattamie County,93669,93410,93065,93179
Iowa,Poweshiek County,18631,18624,18518,18453
Iowa,Ringgold County,4639,4632,4688,4642
Iowa,Sac County,9799,9768,9689,9686
Iowa,Scott County,174609,174225,173751,174270
Iowa,Shelby County,11735,11780,11711,11806
Iowa,Sioux County,35885,35959,36127,36246
Iowa,Story County,98649,99679,98257,98566
Iowa,Tama County,17081,16898,16943,16833
Iowa,Taylor County,5862,5866,5875,5924
Iowa,Union County,12132,12049,11903,11906
Iowa,Van Buren County,7222,7258,7252,7266
Iowa,Wapello County,35326,35295,35081,35166
Iowa,Warren County,52591,53485,54303,55205
Iowa,Washington County,22542,22522,22542,22560
Iowa,Wayne County,6512,6531,6490,6557
Iowa,Webster County,36996,37170,36652,36485
Iowa,Winnebago County,10662,10661,10639,10571
Iowa,Winneshiek County,20045,19935,19902,19815
Iowa,Woodbury County,105912,105749,105558,105951
Iowa,Worth County,7436,7377,7311,7297
Iowa,Wright County,12916,12813,12695,12656
Kansas,Allen County,12533,12498,12489,12412
Kansas,Anderson County,7839,7807,7798,7838
Kansas,Atchison County,16328,16236,16053,16016
Kansas,Barber County,4198,4099,4124,4071
Kansas,Barton County,25427,25263,25058,24899
Kansas,Bourbon County,14335,14326,14443,14408
Kansas,Brown County,9472,9446,9373,9250
Kansas,Butler County,67391,67976,68289,68632
Kansas,Chase County,2571,2604,2568,2579
Kansas,Chautauqua County,3386,3389,3387,3347
Kansas,Cherokee County,19309,19186,19025,19054
Kansas,Cheyenne County,2614,2637,2618,2636
Kansas,Clark County,1979,1958,1939,1847
Kansas,Clay County,8121,8090,8041,8007
Kansas,Cloud County,9009,8954,8934,8854
Kansas,Coffey County,8357,8337,8252,8251
Kansas,Comanche County,1678,1663,1690,1655
Kansas,Cowley County,34534,34624,34423,34157
Kansas,Crawford County,38948,39028,39145,38764
Kansas,Decatur County,2759,2766,2689,2712
Kansas,Dickinson County,18373,18465,18355,18445
Kansas,Doniphan County,7474,7456,7475,7493
Kansas,Douglas County,118784,119493,120007,120553
Kansas,Edwards County,2884,2802,2760,2733
Kansas,Elk County,2482,2439,2448,2467
Kansas,Ellis County,28948,28850,28840,28810
Kansas,Ellsworth County,6369,6324,6383,6357
Kansas,Finney County,38304,38079,37639,37466
Kansas,Ford County,34215,34186,33924,33980
Kansas,Franklin County,26000,26002,25959,26125
Kansas,Geary County,36760,36116,35529,35047
Kansas,Gove County,2714,2747,2742,2735
Kansas,Graham County,2403,2400,2397,2376
Kansas,Grant County,7326,7333,7250,7147
Kansas,Gray County,5647,5664,5711,5743
Kansas,Greeley County,1274,1282,1232,1181
Kansas,Greenwood County,5977,5921,5908,5870
Kansas,Hamilton County,2487,2478,2452,2437
Kansas,Harper County,5472,5355,5400,5435
Kansas,Harvey County,33986,33788,33671,33504
Kansas,Haskell County,3760,3652,3595,3630
Kansas,Hodgeman County,1737,1724,1697,1655
Kansas,Jackson County,13239,13263,13292,13368
Kansas,Jefferson County,18323,18429,18354,18327
Kansas,Jewell County,2927,2942,2885,2847
Kansas,Johnson County,611149,614889,619091,622237
Kansas,Kearny County,3962,3897,3865,3823
Kansas,Kingman County,7425,7291,7174,7066
Kansas,Kiowa County,2455,2409,2405,2374
Kansas,Labette County,20170,19914,19702,19728
Kansas,Lane County,1568,1561,1544,1529
Kansas,Leavenworth County,81966,82398,82922,83518
Kansas,Lincoln County,2949,2910,2911,2920
Kansas,Linn County,9587,9740,9777,9860
Kansas,Logan County,2739,2710,2703,2665
Kansas,Lyon County,32113,32028,32031,32172
Kansas,McPherson County,30184,30164,30063,30091
Kansas,Marion County,11793,11750,11783,11690
Kansas,Marshall County,10023,10021,9992,9933
Kansas,Meade County,4061,3997,3913,3911
Kansas,Miami County,34224,34641,34791,35320
Kansas,Mitchell County,5773,5744,5730,5719
Kansas,Montgomery County,31404,31181,30853,30568
Kansas,Morris County,5369,5386,5400,5334
Kansas,Morton County,2700,2671,2601,2580
Kansas,Nemaha County,10262,10226,10164,10114
Kansas,Neosho County,15905,15787,15583,15420
Kansas,Ness County,2673,2651,2657,2618
Kansas,Norton County,5453,5369,5325,5330
Kansas,Osage County,15741,15752,15705,15824
Kansas,Osborne County,3490,3485,3481,3427
Kansas,Ottawa County,5729,5830,5806,5818
Kansas,Pawnee County,6256,6247,6188,6126
Kansas,Phillips County,4961,4819,4783,4761
Kansas,Pottawatomie County,25411,25873,26292,26382
Kansas,Pratt County,9143,9168,9073,9082
Kansas,Rawlins County,2572,2558,2523,2463
Kansas,Reno County,61878,61499,61552,61497
Kansas,Republic County,4664,4688,4653,4627
Kansas,Rice County,9389,9389,9370,9260
Kansas,Riley County,72016,71871,71563,71402
Kansas,Rooks County,4893,4865,4810,4778
Kansas,Rush County,2938,2928,2941,2830
Kansas,Russell County,6678,6697,6733,6723
Kansas,Saline County,54254,53827,53389,53098
Kansas,Scott County,5139,5121,5007,4922
Kansas,Sedgwick County,524821,524423,525368,528469
Kansas,Seward County,21857,21763,21345,21067
Kansas,Shawnee County,178709,178403,177537,177746
Kansas,Sheridan County,2445,2451,2439,2423
Kansas,Sherman County,5897,5932,5876,5844
Kansas,Smith County,3567,3573,3572,3590
Kansas,Stafford County,4049,4008,3971,3909
Kansas,Stanton County,2084,2045,1967,1901
Kansas,Stevens County,5243,5302,5166,5077
Kansas,Sumner County,22328,22327,22359,22334
Kansas,Thomas County,7932,7948,7908,7865
Kansas,Trego County,2803,2788,2746,2731
Kansas,Wabaunsee County,6891,6970,7009,7057
Kansas,Wallace County,1512,1513,1493,1509
Kansas,Washington County,5530,5525,5493,5504
Kansas,Wichita County,2149,2080,2078,2082
Kansas,Wilson County,8582,8520,8554,8382
Kansas,Woodson County,3099,3084,3117,3115
Kansas,Wyandotte County,168914,167262,165626,165281
Kentucky,Adair County,18883,18966,19097,19264
Kentucky,Allen County,20574,20839,21283,21788
Kentucky,Anderson County,23883,24084,24273,24613
Kentucky,Ballard County,7713,7687,7642,7582
Kentucky,Barren County,44505,44598,44872,45008
Kentucky,Bath County,12716,12795,12828,12975
Kentucky,Bell County,23984,23834,23611,23317
Kentucky,Boone County,136468,137747,139045,140496
Kentucky,Bourbon County,20286,20224,20109,20134
Kentucky,Boyd County,48206,47757,48059,47826
Kentucky,Boyle County,30753,30604,30851,30988
Kentucky,Bracken County,8400,8440,8435,8426
Kentucky,Breathitt County,13693,13546,13358,12953
Kentucky,Breckinridge County,20447,20687,20961,21124
Kentucky,Bullitt County,82366,83073,83774,84863
Kentucky,Butler County,12316,12302,12365,12375
Kentucky,Caldwell County,12635,12678,12608,12551
Kentucky,Calloway County,37596,37896,38093,38280
Kentucky,Campbell County,93127,92828,93272,93702
Kentucky,Carlisle County,4807,4761,4719,4704
Kentucky,Carroll County,10825,10896,10939,10987
Kentucky,Carter County,26609,26430,26343,26366
Kentucky,Casey County,15918,15940,15911,15918
Kentucky,Christian County,72762,73180,72286,72032
Kentucky,Clark County,37035,36895,36992,37304
Kentucky,Clay County,20312,20161,19874,19648
Kentucky,Clinton County,9232,9282,9139,9148
Kentucky,Crittenden County,9003,8944,8991,8974
Kentucky,Cumberland County,5856,5900,5969,6000
Kentucky,Daviess County,103405,103089,103189,103458
Kentucky,Edmonson County,12152,12237,12302,12448
Kentucky,Elliott County,7334,7361,7292,7245
Kentucky,Estill County,14161,14086,14024,13936
Kentucky,Fayette County,322627,320519,320281,320154
Kentucky,Fleming County,15101,15265,15278,15442
Kentucky,Floyd County,35798,35304,34918,34423
Kentucky,Franklin County,51594,51714,51548,51644
Kentucky,Fulton County,6511,6487,6371,6338
Kentucky,Gallatin County,8673,8763,8773,8792
Kentucky,Garrard County,16963,17366,17566,17829
Kentucky,Grant County,25015,25292,25474,25619
Kentucky,Graves County,36528,36673,36493,36461
Kentucky,Grayson County,26460,26583,26643,26825
Kentucky,Green County,11132,11325,11392,11468
Kentucky,Greenup County,35877,35643,35375,35221
Kentucky,Hancock County,9101,9073,9027,8920
Kentucky,Hardin County,110829,111878,111743,112273
Kentucky,Harlan County,26754,26150,25652,25324
Kentucky,Harrison County,18719,18957,19105,19415
Kentucky,Hart County,19290,19477,19594,19724
Kentucky,Henderson County,44678,44418,44032,44119
Kentucky,Henry County,15698,15708,15760,15973
Kentucky,Hickman County,4529,4426,4434,4447
Kentucky,Hopkins County,45369,45189,44926,44929
Kentucky,Jackson County,12963,12980,12989,13104
Kentucky,Jefferson County,782845,777251,773095,772144
Kentucky,Jessamine County,53024,53603,54236,55017
Kentucky,Johnson County,22648,22548,22235,22116
Kentucky,Kenton County,169271,169698,170280,171321
Kentucky,Knott County,14158,14032,13847,13659
Kentucky,Knox County,30185,30025,29773,29794
Kentucky,Larue County,14873,15027,15150,15303
Kentucky,Laurel County,62727,62580,62879,63296
Kentucky,Lawrence County,16303,16284,16097,16000
Kentucky,Lee County,7368,7462,7273,7293
Kentucky,Leslie County,10468,10280,10049,9864
Kentucky,Letcher County,21465,21224,20827,20423
Kentucky,Lewis County,13087,12991,12937,12973
Kentucky,Lincoln County,24255,24295,24419,24776
Kentucky,Livingston County,8871,8980,8968,8892
Kentucky,Logan County,27513,27804,27856,28283
Kentucky,Lyon County,8679,8435,9099,9187
Kentucky,McCracken County,67917,67546,67366,67428
Kentucky,McCreary County,16840,16804,16783,17050
Kentucky,McLean County,9136,9122,9107,9054
Kentucky,Madison County,92993,93474,95151,96735
Kentucky,Magoffin County,11603,11489,11348,11228
Kentucky,Marion County,19592,19739,19748,19834
Kentucky,Marshall County,31691,31829,31790,31744
Kentucky,Martin County,11253,11165,11096,10928
Kentucky,Mason County,17133,16960,16903,16841
Kentucky,Meade County,30026,30119,30010,30131
Kentucky,Menifee County,6146,6185,6236,6286
Kentucky,Mercer County,22655,22860,22900,23097
Kentucky,Metcalfe County,10288,10391,10408,10482
Kentucky,Monroe County,11319,11260,11353,11306
Kentucky,Montgomery County,28112,28230,28357,28527
Kentucky,Morgan County,13735,13689,14146,14283
Kentucky,Muhlenberg County,30894,30323,30696,30568
Kentucky,Nelson County,46779,47127,47359,47730
Kentucky,Nicholas County,7541,7733,7786,7686
Kentucky,Ohio County,23747,23744,23496,23626
Kentucky,Oldham County,67693,68238,69444,70183
Kentucky,Owen County,11301,11298,11294,11313
Kentucky,Owsley County,4032,3974,3958,4001
Kentucky,Pendleton County,14648,14635,14703,14810
Kentucky,Perry County,28367,27927,27367,27133
Kentucky,Pike County,58441,57416,56317,55973
Kentucky,Powell County,13093,13086,13041,12972
Kentucky,Pulaski County,65116,65571,65767,66191
Kentucky,Robertson County,2184,2257,2247,2313
Kentucky,Rockcastle County,16059,16134,16225,16190
Kentucky,Rowan County,24722,24569,24372,24409
Kentucky,Russell County,18002,18172,18185,18279
Kentucky,Scott County,57531,58316,59077,60168
Kentucky,Shelby County,48244,48588,48842,49515
Kentucky,Simpson County,19633,19734,19948,20195
Kentucky,Spencer County,19511,19887,20212,20531
Kentucky,Taylor County,26000,26187,26396,26443
Kentucky,Todd County,12288,12301,12394,12494
Kentucky,Trigg County,14078,14220,14348,14369
Kentucky,Trimble County,8460,8549,8527,8607
Kentucky,Union County,13652,13254,13104,13106
Kentucky,Warren County,135028,137225,140046,142229
Kentucky,Washington County,12043,12080,12060,12267
Kentucky,Wayne County,19539,19535,19634,19580
Kentucky,Webster County,13018,12852,12739,12726
Kentucky,Whitley County,36698,36761,36908,36825
Kentucky,Wolfe County,6559,6507,6416,6282
Kentucky,Woodford County,26904,27082,27053,27268
Louisiana,Acadia Parish,57478,57217,56725,56489
Louisiana,Allen Parish,22687,22588,22287,22112
Louisiana,Ascension Parish,126978,128571,130485,131632
Louisiana,Assumption Parish,20963,20696,20463,20160
Louisiana,Avoyelles Parish,39646,39261,38715,38408
Louisiana,Beauregard Parish,36605,36668,36624,36827
Louisiana,Bienville Parish,12913,12779,12612,12366
Louisiana,Bossier Parish,128721,129323,129153,129795
Louisiana,Caddo Parish,236945,232658,228934,226386
Louisiana,Calcasieu Parish,216481,204914,202288,203761
Louisiana,Caldwell Parish,9615,9576,9493,9389
Louisiana,Cameron Parish,5623,5094,4896,4768
Louisiana,Catahoula Parish,8844,8721,8604,8414
Louisiana,Claiborne Parish,14103,14043,13849,13670
Louisiana,Concordia Parish,18569,18348,18026,17688
Louisiana,De Soto Parish,26845,26949,26856,27114
Louisiana,East Baton Rouge Parish,455899,453596,450091,448467
Louisiana,East Carroll Parish,7397,7229,6939,6829
Louisiana,East Feliciana Parish,19456,19373,19208,19229
Louisiana,Evangeline Parish,32297,32213,32033,31754
Louisiana,Franklin Parish,19713,19609,19358,19285
Louisiana,Grant Parish,22149,22256,22040,21911
Louisiana,Iberia Parish,70055,69325,68320,67659
Louisiana,Iberville Parish,30064,29747,29613,29617
Louisiana,Jackson Parish,14998,14900,14816,14746
Louisiana,Jefferson Parish,439725,434134,426030,421777
Louisiana,Jefferson Davis Parish,32210,32373,31929,31553
Louisiana,Lafayette Parish,242145,244880,247714,249750
Louisiana,Lafourche Parish,97454,97599,95751,95056
Louisiana,LaSalle Parish,14823,14842,14821,14800
Louisiana,Lincoln Parish,48309,48110,47980,47962
Louisiana,Livingston Parish,142834,146121,148056,150145
Louisiana,Madison Parish,9927,9801,9480,9246
Louisiana,Morehouse Parish,25465,25021,24414,23955
Louisiana,Natchitoches Parish,37387,36973,36648,36291
Louisiana,Orleans Parish,383241,377346,369917,364136
Louisiana,Ouachita Parish,160111,158866,157704,157568
Louisiana,Plaquemines Parish,23460,23310,22618,22386
Louisiana,Pointe Coupee Parish,20673,20346,20212,20000
Louisiana,Rapides Parish,129651,128626,127028,126260
Louisiana,Red River Parish,7582,7505,7465,7356
Louisiana,Richland Parish,20026,19856,19784,19712
Louisiana,Sabine Parish,22099,22096,21974,21906
Louisiana,St. Bernard Parish,43856,44324,44419,44463
Louisiana,St. Charles Parish,52513,52470,51058,50620
Louisiana,St. Helena Parish,10898,10903,10789,10774
Louisiana,St. James Parish,20120,19794,19388,19191
Louisiana,St. John the Baptist Parish,42366,42109,39955,39592
Louisiana,St. Landry Parish,82314,82191,81679,81464
Louisiana,St. Martin Parish,51634,51562,51249,51057
Louisiana,St. Mary Parish,49142,48219,47819,47055
Louisiana,St. Tammany Parish,265000,270147,273237,275583
Louisiana,Tangipahoa Parish,133654,135488,136799,138064
Louisiana,Tensas Parish,4107,4024,3814,3764
Louisiana,Terrebonne Parish,109405,108955,104632,103616
Louisiana,Union Parish,21092,21001,20729,20650
Louisiana,Vermilion Parish,56956,56874,56953,56992
Louisiana,Vernon Parish,48622,48022,46870,46250
Louisiana,Washington Parish,45357,45198,44991,44865
Louisiana,Webster Parish,36883,35938,35527,35238
Louisiana,West Baton Rouge Parish,27262,27798,28034,28266
Louisiana,West Carroll Parish,9696,9583,9481,9323
Louisiana,West Feliciana Parish,15259,15495,15396,15371
Louisiana,Winn Parish,13720,13493,13251,13216
Maine,Androscoggin County,111175,112732,113225,113765
Maine,Aroostook County,67063,67075,67322,67351
Maine,Cumberland County,303585,306107,308837,310230
Maine,Franklin County,29468,30258,30595,30828
