STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
Arkansas,Crittenden County,48076,47438,47051,47139
Arkansas,Cross County,16795,16672,16590,16420
Arkansas,Dallas County,6444,6309,6196,6185
Arkansas,Desha County,11324,11048,10758,10479
Arkansas,Drew County,17313,17057,16912,16945
Arkansas,Faulkner County,123820,125608,127565,129951
Arkansas,Franklin County,17139,17166,17270,17468
Arkansas,Fulton County,12054,12147,12355,12421
Arkansas,Garland County,100258,100393,99982,99784
Arkansas,Grant County,18018,18123,18129,18383
Arkansas,Greene County,45864,46341,46408,46743
Arkansas,Hempstead County,19989,19667,19481,19343
Arkansas,Hot Spring County,33075,33079,33149,33258
Arkansas,Howard County,12757,12695,12622,12533
Arkansas,Independence County,37940,38100,38254,38320
Arkansas,Izard County,13602,13921,14029,14169
Arkansas,Jackson County,16761,16781,16654,16784
Arkansas,Jefferson County,66830,65637,64295,63661
Arkansas,Johnson County,25724,25957,25970,26129
Arkansas,Lafayette County,6293,6159,6129,6095
Arkansas,Lawrence County,16218,16329,16194,16318
Arkansas,Lee County,8526,8560,8367,8201
Arkansas,Lincoln County,12890,13168,12910,12898
Arkansas,Little River County,11974,11973,11865,11805
Arkansas,Logan County,21100,21229,21258,21400
Arkansas,Lonoke County,74055,74770,75199,75944
Arkansas,Madison County,16545,16944,17463,17775
Arkansas,Marion County,16873,16984,17289,17514
Arkansas,Miller County,42588,42494,42608,42415
Arkansas,Mississippi County,40538,39534,38863,38663
Arkansas,Monroe County,6776,6648,6568,6512
Arkansas,Montgomery County,8485,8635,8543,8620
Arkansas,Nevada County,8284,8184,8179,8120
Arkansas,Newton County,7196,7167,7101,7071
Arkansas,Ouachita County,22615,22312,21994,21793
Arkansas,Perry County,9997,9995,10073,10184
Arkansas,Phillips County,16440,15825,15350,14961
Arkansas,Pike County,10162,10114,10159,10208
Arkansas,Poinsett County,22954,22691,22453,22397
Arkansas,Polk County,19177,19333,19334,19436
Arkansas,Pope County,63410,63778,64053,64593
Arkansas,Prairie County,8249,8095,8077,8036
Arkansas,Pulaski County,399274,398108,399387,400009
Arkansas,Randolph County,18595,18839,18852,18907
Arkansas,St. Francis County,23021,22715,22402,22101
Arkansas,Saline County,123826,125382,127415,129574
Arkansas,Scott County,9834,9795,9796,9851
Arkansas,Searcy County,7840,7893,7906,7806
Arkansas,Sebastian County,127808,128342,129109,129098
Arkansas,Sevier County,15778,15714,15738,15632
Arkansas,Sharp County,17314,17691,17836,17968
Arkansas,Stone County,12349,12441,12585,12671
Arkansas,Union County,38931,38375,37813,37397
Arkansas,Van Buren County,15799,15777,16103,16142
Arkansas,Washington County,246774,251767,256682,261549
Arkansas,White County,76860,77109,77616,78452
Arkansas,Woodruff County,6224,6146,6057,5964
Arkansas,Yell County,20212,20135,20091,20044
California,Alameda County,1680466,1644047,1628259,1622188
California,Alpine County,1205,1229,1190,1141
California,Amador County,40525,41228,41493,41811
California,Butte County,210151,206336,207369,207172
California,Calaveras County,45348,46249,46556,46565
California,Colusa County,21864,21919,21909,22037
California,Contra Costa County,1166069,1163941,1157019,1155025
California,Del Norte County,27604,27584,27112,26589
California,El Dorado County,191245,193704,192787,192215
California,Fresno County,1009552,1013103,1015359,1017162
California,Glenn County,28904,28718,28360,28129
California,Humboldt County,136262,134897,134944,133985
California,Imperial County,179612,179138,178940,179057
California,Inyo County,18987,18924,18742,18527
California,Kern County,905910,912709,916751,913820
California,Kings County,152844,152775,152987,152682
California,Lake County,68199,68645,68172,67878
California,Lassen County,32315,31885,30020,28861
California,Los Angeles County,9992813,9809462,9719765,9663345
California,Madera County,156345,158966,160329,162858
California,Marin County,261306,259278,256154,254407
California,Mariposa County,17119,17127,17053,16919
California,Mendocino County,91367,91321,90007,89108
California,Merced County,281830,284610,290210,291920
California,Modoc County,8681,8641,8619,8500
California,Mono County,13228,13271,13002,13066
California,Monterey County,438322,437158,432884,430723
California,Napa County,137459,136265,134370,133216
California,Nevada County,102265,103517,102401,102037
California,Orange County,3185734,3160611,3150372,3135755
California,Placer County,405927,413047,418074,423561
California,Plumas County,19746,19958,19443,19131
California,Riverside County,2422993,2453399,2474241,2492442
California,Sacramento County,1586566,1588810,1584380,1584288
California,San Benito County,64530,66709,67643,68175
