Name,State,Avg 2020,Max 2020,Min 2020
Autauga County,Alabama,66.2,77.3,55.1
Baldwin County,Alabama,68.9,78.9,58.8
Barbour County,Alabama,66.1,76.9,55.3
Bibb County,Alabama,64,75.3,52.7
Blount County,Alabama,62.6,72.3,53
Bullock County,Alabama,65.9,76.6,55.2
Butler County,Alabama,67.1,78.6,55.6
Calhoun County,Alabama,63.1,74,52.2
Chambers County,Alabama,63.1,74.5,51.6
Cherokee County,Alabama,62.3,72.8,51.9
Chilton County,Alabama,64.4,75.7,53
Choctaw County,Alabama,66.3,77.2,55.4
Clarke County,Alabama,67.1,77.9,56.4
Clay County,Alabama,62.5,73.8,51.2
Cleburne County,Alabama,62.3,73.3,51.3
Coffee County,Alabama,67.3,78.8,55.9
Colbert County,Alabama,61.9,72.8,50.9
Conecuh County,Alabama,68,79.2,56.8
Coosa County,Alabama,63.9,75.3,52.6
Covington County,Alabama,67.7,79.4,56
Crenshaw County,Alabama,66.6,78.2,55.1
Cullman County,Alabama,62.2,71.6,52.7
Dale County,Alabama,67.4,78.3,56.4
Dallas County,Alabama,66.3,77.4,55.2
DeKalb County,Alabama,60.4,70.1,50.7
Elmore County,Alabama,65.9,76.8,55
Escambia County,Alabama,68.2,79,57.4
Etowah County,Alabama,62.6,72.8,52.3
Fayette County,Alabama,63.5,74.2,52.8
Franklin County,Alabama,61.5,72.2,50.8
Geneva County,Alabama,68.2,79.7,56.6
Greene County,Alabama,64.9,75.8,54
Hale County,Alabama,64.7,75.7,53.7
Henry County,Alabama,67.3,77.9,56.7
Houston County,Alabama,68.5,79.3,57.7
Jackson County,Alabama,60.6,70.4,50.9
Jefferson County,Alabama,63.7,74.8,52.7
Lamar County,Alabama,63.5,74.2,52.7
Lauderdale County,Alabama,61.4,72.3,50.4
Lawrence County,Alabama,61.2,71.9,50.5
Lee County,Alabama,64.3,75.4,53.2
Limestone County,Alabama,61,71.1,50.9
Lowndes County,Alabama,67.1,78.2,56.1
Macon County,Alabama,65.5,76.4,54.7
Madison County,Alabama,61.3,71.3,51.3
Marengo County,Alabama,65.7,77.1,54.4
Marion County,Alabama,62.2,72.8,51.5
Marshall County,Alabama,61.9,71.6,52.1
Mobile County,Alabama,68.7,79.1,58.3
Monroe County,Alabama,67.9,78.8,57
Montgomery County,Alabama,67.2,77.9,56.6
Morgan County,Alabama,61.8,71.6,52.1
Perry County,Alabama,64.9,76,53.8
Pickens County,Alabama,64.3,75.1,53.6
Pike County,Alabama,66.4,77.2,55.5
Randolph County,Alabama,62.4,73.6,51.1
Russell County,Alabama,65.5,76.8,54.1
St. Clair County,Alabama,63.1,73.7,52.5
Shelby County,Alabama,63.8,75.2,52.3
Sumter County,Alabama,65.3,76.5,54.1
Talladega County,Alabama,63.6,75,52.3
Tallapoosa County,Alabama,63.6,75.1,52
Tuscaloosa County,Alabama,64.2,75,53.4
Walker County,Alabama,63.2,74.1,52.4
Washington County,Alabama,67.4,78.2,56.6
Wilcox County,Alabama,66.9,77.9,55.7
Winston County,Alabama,61.5,72.1,50.8
Apache County,Arizona,52.6,68.3,36.8
Cochise County,Arizona,63.2,79.3,47.2
Coconino County,Arizona,55.3,70.5,40
Gila County,Arizona,61.9,76.7,47.2
Graham County,Arizona,63.4,77.7,49
Greenlee County,Arizona,59.2,73.6,44.8
La Paz County,Arizona,73.1,87.8,58.3
Maricopa County,Arizona,73,87.7,58.1
Mohave County,Arizona,64.4,77.8,51
Navajo County,Arizona,54.4,70.2,38.7
Pima County,Arizona,69.8,85.6,54
Pinal County,Arizona,71,85.4,56.7
Santa Cruz County,Arizona,62.6,78.5,46.8
Yavapai County,Arizona,61.6,77.2,45.9
Yuma County,Arizona,74.2,89.5,58.8
Arkansas County,Arkansas,63.2,72.6,53.9
Ashley County,Arkansas,64.6,74.9,54.4
Baxter County,Arkansas,57.9,68.9,46.9
Benton County,Arkansas,58.8,69.7,47.8
Boone County,Arkansas,57.4,68.2,46.6
Bradley County,Arkansas,64,74.3,53.6
Calhoun County,Arkansas,63.4,74.1,52.8
Carroll County,Arkansas,57.8,68.5,47
Chicot County,Arkansas,64.8,74.3,55.2
Clark County,Arkansas,62.2,72.8,51.6
Clay County,Arkansas,60,69.9,50.1
Cleburne County,Arkansas,59.7,69.9,49.4
Cleveland County,Arkansas,62.7,72.7,52.6
Columbia County,Arkansas,63.4,73.9,52.9
Conway County,Arkansas,60.6,71.3,49.8
Craighead County,Arkansas,60.7,69.8,51.5
Crawford County,Arkansas,60.4,71.3,49.4
Crittenden County,Arkansas,62.5,71.9,53.1
Cross County,Arkansas,61.7,71.1,52.4
Dallas County,Arkansas,62.3,72.6,51.9
Desha County,Arkansas,63.6,72.9,54.4
Drew County,Arkansas,63.9,73.6,54.2
Faulkner County,Arkansas,60.8,71.3,50.4
Franklin County,Arkansas,60,70.6,49.3
Fulton County,Arkansas,58.1,68.8,47.5
Garland County,Arkansas,61.2,71.6,50.9
Grant County,Arkansas,62.1,72.5,51.8
Greene County,Arkansas,60.2,69.6,50.8
Hempstead County,Arkansas,62.4,72.6,52.3
Hot Spring County,Arkansas,61.8,72.3,51.4
Howard County,Arkansas,61.8,72.2,51.4
Independence County,Arkansas,59.5,69.4,49.5
Izard County,Arkansas,58.1,68.7,47.6
Jackson County,Arkansas,60.3,69.8,50.8
Jefferson County,Arkansas,62.5,72.3,52.6
Johnson County,Arkansas,59.1,69.4,48.8
Lafayette County,Arkansas,63.8,74,53.5
Lawrence County,Arkansas,59.6,69.2,50
Lee County,Arkansas,62.8,72,53.6
Lincoln County,Arkansas,63.2,72.8,53.6
Little River County,Arkansas,63.6,73.8,53.5
Logan County,Arkansas,60.5,71.4,49.7
Lonoke County,Arkansas,61.9,71.7,52.2
Madison County,Arkansas,57.6,68,47.2
Marion County,Arkansas,57.7,68.8,46.6
Miller County,Arkansas,64.1,74.1,54.2
Mississippi County,Arkansas,61.5,70.6,52.3
Monroe County,Arkansas,62.7,71.8,53.6
Montgomery County,Arkansas,60.8,71.4,50.2
Nevada County,Arkansas,62.5,73,52
Newton County,Arkansas,57.1,67,47.2
Ouachita County,Arkansas,63,73.7,52.3
Perry County,Arkansas,61.1,71.8,50.5
Phillips County,Arkansas,63.2,72.5,54
Pike County,Arkansas,61.4,72,50.9
Poinsett County,Arkansas,61.2,70.4,51.9
Polk County,Arkansas,60.2,70.5,49.8
Pope County,Arkansas,59.4,70.1,48.7
Prairie County,Arkansas,62.1,71.2,52.9
Pulaski County,Arkansas,61.5,71.7,51.4
Randolph County,Arkansas,59.3,69.6,49
St. Francis County,Arkansas,62.4,71.7,53
Saline County,Arkansas,61.4,71.4,51.3
Scott County,Arkansas,60.4,71.3,49.6
Searcy County,Arkansas,57.5,67.9,47.2
Sebastian County,Arkansas,61.3,72.3,50.2
Sevier County,Arkansas,62.9,73.2,52.4
Sharp County,Arkansas,58.5,68.6,48.4
Stone County,Arkansas,58.3,68.7,47.8
Union County,Arkansas,64.2,75,53.5
Van Buren County,Arkansas,58.6,69.2,48.1
Washington County,Arkansas,58.7,69.5,47.9
White County,Arkansas,61.2,70.7,51.7
Woodruff County,Arkansas,61.4,70.6,52.2
Yell County,Arkansas,60.9,72,49.9
Alameda County,California,61.7,72.9,50.6
Alpine County,California,46.3,58.2,34.3
Amador County,California,60.4,72.8,48
Butte County,California,62.4,75.6,49.1
Calaveras County,California,60.7,73.6,47.9
Colusa County,California,64,77.5,50.4
Contra Costa County,California,62.8,74.3,51.3
Del Norte County,California,53.3,63.5,43.2
El Dorado County,California,56.4,68.1,44.6
Fresno County,California,57.6,70.5,44.6
Glenn County,California,62.6,75.9,49.4
Humboldt County,California,55.8,66.9,44.8
Imperial County,California,75.4,89.8,61
Inyo County,California,62.6,75.8,49.4
Kern County,California,63.4,76.6,50.1
Kings County,California,65.5,79,51.9
Lake County,California,59.6,72,47.2
Lassen County,California,49.1,63.3,35
Los Angeles County,California,63.2,75.4,51.1
Madera County,California,58,71.2,44.8
Marin County,California,58.4,67.6,49.1
Mariposa County,California,57.4,70.7,44.1
Mendocino County,California,57.7,70,45.3
Merced County,California,63.4,76.6,50.2
Modoc County,California,49,62.9,35
Mono County,California,46.6,61.4,31.7
Monterey County,California,60.4,74.9,45.8
Napa County,California,61.9,75.5,48.4
Nevada County,California,54.5,67.2,41.8
Orange County,California,65.9,76.3,55.5
Placer County,California,55.9,68.4,43.5
Plumas County,California,49.4,63.3,35.4
Riverside County,California,70.2,83.5,56.9
Sacramento County,California,64.4,78.3,50.4
San Benito County,California,60.7,74,47.4
San Bernardino County,California,68.2,81,55.3
San Diego County,California,64.7,78.1,51.2
San Francisco County,California,59.2,67.9,50.6
San Joaquin County,California,64.5,78.5,50.4
San Luis Obispo County,California,61.1,75.6,46.6
San Mateo County,California,58.8,69.1,48.5
Santa Barbara County,California,60.2,73,47.4
Santa Clara County,California,60.5,72.6,48.3
Santa Cruz County,California,59.3,71.7,47.1
Shasta County,California,57.4,70.7,44.1
Sierra County,California,49.3,62.6,35.9
Siskiyou County,California,50.9,63.3,38.4
Solano County,California,63.2,76.4,50
Sonoma County,California,59.4,71.7,47
Stanislaus County,California,63.1,76.6,49.5
Sutter County,California,64.9,79.2,50.6
Tehama County,California,61.1,73.7,48.5
Trinity County,California,54.7,67.9,41.4
Tulare County,California,56.1,68.2,43.9
Tuolumne County,California,52.5,65.2,39.9
Ventura County,California,59.5,72.2,46.9
Yolo County,California,63.9,78.2,49.5
Yuba County,California,63,76.2,49.8
Adams County,Colorado,51.4,67,35.8
Alamosa County,Colorado,44.8,61.6,27.9
Arapahoe County,Colorado,50.9,66.1,35.7
Archuleta County,Colorado,46,60.5,31.4
Baca County,Colorado,55.2,70.9,39.4
Bent County,Colorado,55.1,71.5,38.8
Boulder County,Colorado,46.2,59.5,33
Broomfield County,Colorado,52.3,67.1,37.5
Chaffee County,Colorado,39.1,52.7,25.4
Cheyenne County,Colorado,52.9,69,36.9
Clear Creek County,Colorado,38.8,50.5,27
Conejos County,Colorado,42,56.8,27.2
Costilla County,Colorado,44.2,59.2,29.3
Crowley County,Colorado,53.3,70.2,36.3
Custer County,Colorado,43.1,57,29.2
Delta County,Colorado,48.6,61.9,35.2
Denver County,Colorado,52.2,66.8,37.6
Dolores County,Colorado,45.3,58.9,31.7
Douglas County,Colorado,48.1,62.5,33.8
Eagle County,Colorado,40.7,53.8,27.6
Elbert County,Colorado,49.4,65.1,33.8
El Paso County,Colorado,50,65.3,34.7
Fremont County,Colorado,46.5,61.5,31.5
Garfield County,Colorado,44.9,57.1,32.6
Gilpin County,Colorado,40.8,52.7,28.9
Grand County,Colorado,38.4,51.6,25.3
Gunnison County,Colorado,39.6,53.3,26
Hinsdale County,Colorado,38.1,50.9,25.4
Huerfano County,Colorado,49.2,63.4,34.9
Jackson County,Colorado,37.7,51.1,24.2
Jefferson County,Colorado,47.4,61.3,33.6
Kiowa County,Colorado,53.6,69.8,37.4
Kit Carson County,Colorado,52.8,68.4,37.2
Lake County,Colorado,35.7,49.2,22.1
La Plata County,Colorado,47,61,32.9
Larimer County,Colorado,43.6,56.8,30.4
Las Animas County,Colorado,53,68.5,37.5
Lincoln County,Colorado,51.4,67.7,35
Logan County,Colorado,51.3,66.5,36
Mesa County,Colorado,49.2,62.3,36.1
Mineral County,Colorado,38.9,52.3,25.4
Moffat County,Colorado,44.8,58.5,31.1
Montezuma County,Colorado,50.6,65,36.1
Montrose County,Colorado,49.5,63.3,35.7
Morgan County,Colorado,51.4,67.7,35
Otero County,Colorado,54.9,71.2,38.5
Ouray County,Colorado,43.3,57.7,28.9
Park County,Colorado,38.9,53.1,24.7
Phillips County,Colorado,51.7,66.9,36.6
Pitkin County,Colorado,39.2,51.8,26.7
Prowers County,Colorado,54.9,71.3,38.6
Pueblo County,Colorado,53.9,69.6,38.2
Rio Blanco County,Colorado,45.4,58.5,32.3
Rio Grande County,Colorado,41.9,57,26.8
Routt County,Colorado,41,53.9,28
Saguache County,Colorado,40.8,54.9,26.6
San Juan County,Colorado,37.3,49.1,25.4
San Miguel County,Colorado,46.7,60.7,32.6
Sedgwick County,Colorado,51.5,66.3,36.7
Summit County,Colorado,37,49.7,24.4
Teller County,Colorado,41.2,56,26.4
Washington County,Colorado,51.6,67.2,35.9
Weld County,Colorado,50.2,65.8,34.6
Yuma County,Colorado,52.6,67.7,37.5
Fairfield County,Connecticut,53.3,62.6,43.9
Hartford County,Connecticut,52.1,62.6,41.5
Litchfield County,Connecticut,49.7,60.1,39.4
Middlesex County,Connecticut,52.5,62.1,42.8
New Haven County,Connecticut,52.2,61.8,42.6
New London County,Connecticut,52.6,61.9,43.4
Tolland County,Connecticut,51.3,61.6,41.1
Windham County,Connecticut,51.4,61.5,41.4
Kent County,Delaware,57.7,67.4,48.1
New Castle County,Delaware,56.7,65.9,47.4
Sussex County,Delaware,58.8,68.6,48.9
Alachua County,Florida,71.7,83.4,59.9
Baker County,Florida,70.5,81.8,59.3
Bay County,Florida,70.7,80.1,61.3
Bradford County,Florida,71.1,82.5,59.7
Brevard County,Florida,74.6,82.4,66.9
