Name,State,Avg 2021,Max 2021,Min 2021
Autauga County,Alabama,65.6,76.7,54.5
Baldwin County,Alabama,67.9,77.7,58
Barbour County,Alabama,65.2,76.2,54.3
Bibb County,Alabama,63.4,74.6,52.2
Blount County,Alabama,62.4,72.1,52.7
Bullock County,Alabama,65.2,76,54.3
Butler County,Alabama,66.4,77.9,54.9
Calhoun County,Alabama,62.5,73.5,51.5
Chambers County,Alabama,62.4,74.2,50.7
Cherokee County,Alabama,61.8,72.6,50.9
Chilton County,Alabama,63.9,75.2,52.5
Choctaw County,Alabama,65.5,76.3,54.7
Clarke County,Alabama,66.4,77,55.7
Clay County,Alabama,61.9,73.4,50.3
Cleburne County,Alabama,61.6,72.6,50.5
Coffee County,Alabama,66.5,78.1,54.9
Colbert County,Alabama,61.8,72.7,50.8
Conecuh County,Alabama,67.4,78.5,56.2
Coosa County,Alabama,63.3,74.8,51.9
Covington County,Alabama,66.8,78.4,55.3
Crenshaw County,Alabama,65.9,77.5,54.2
Cullman County,Alabama,61.8,71.1,52.4
Dale County,Alabama,66.6,77.6,55.5
Dallas County,Alabama,65.8,76.7,54.9
DeKalb County,Alabama,60,70.1,50
Elmore County,Alabama,65.3,76.2,54.3
Escambia County,Alabama,67.5,78.3,56.8
Etowah County,Alabama,62.1,72.6,51.6
Fayette County,Alabama,62.8,73.8,51.7
Franklin County,Alabama,61.5,72.2,50.7
Geneva County,Alabama,67,78.4,55.6
Greene County,Alabama,64.2,75,53.4
Hale County,Alabama,64,74.8,53.1
Henry County,Alabama,66.4,77,55.8
Houston County,Alabama,67.3,78,56.6
Jackson County,Alabama,60.4,70.4,50.4
Jefferson County,Alabama,63,74,52
Lamar County,Alabama,63,74,52.1
Lauderdale County,Alabama,61.1,72.2,50.1
Lawrence County,Alabama,61,71.6,50.4
Lee County,Alabama,63.2,74.5,51.9
Limestone County,Alabama,60.7,71,50.4
Lowndes County,Alabama,66.4,77.5,55.3
Macon County,Alabama,64.7,75.6,53.7
Madison County,Alabama,60.8,71.2,50.5
Marengo County,Alabama,65.1,75.9,54.2
Marion County,Alabama,61.8,73,50.6
Marshall County,Alabama,61.7,71.6,51.7
Mobile County,Alabama,67.5,77.7,57.4
Monroe County,Alabama,67.3,78.1,56.4
Montgomery County,Alabama,66.6,77.4,55.7
Morgan County,Alabama,61.3,71.1,51.4
Perry County,Alabama,64.3,75.2,53.5
Pickens County,Alabama,63.9,74.8,53.1
Pike County,Alabama,65.7,76.8,54.5
Randolph County,Alabama,61.9,73.5,50.3
Russell County,Alabama,64.2,75.8,52.6
St. Clair County,Alabama,62.6,73.4,51.7
Shelby County,Alabama,63,74.5,51.6
Sumter County,Alabama,64.6,75.6,53.6
Talladega County,Alabama,62.8,74.4,51.3
Tallapoosa County,Alabama,62.9,74.6,51.3
Tuscaloosa County,Alabama,63.4,74.2,52.7
Walker County,Alabama,62.6,73.5,51.6
Washington County,Alabama,66.6,77.4,55.7
Wilcox County,Alabama,66.3,77.2,55.4
Winston County,Alabama,61.1,71.8,50.4
Apache County,Arizona,52,67.1,36.9
Cochise County,Arizona,62.4,78.2,46.7
Coconino County,Arizona,54.8,69.1,40.4
Gila County,Arizona,61.5,75.3,47.6
Graham County,Arizona,62.6,76.6,48.7
Greenlee County,Arizona,58.3,72.2,44.5
La Paz County,Arizona,73.5,87.3,59.7
Maricopa County,Arizona,72,85.6,58.4
Mohave County,Arizona,64.4,77,51.8
Navajo County,Arizona,53.7,68.8,38.5
Pima County,Arizona,69.1,84.1,54
Pinal County,Arizona,70.3,84.2,56.5
Santa Cruz County,Arizona,61.6,77.1,46.1
Yavapai County,Arizona,61.2,75.8,46.7
Yuma County,Arizona,74.1,88.7,59.5
Arkansas County,Arkansas,63.1,72.8,53.5
Ashley County,Arkansas,64.9,75.7,54.1
Baxter County,Arkansas,58.6,69.6,47.5
Benton County,Arkansas,58.8,69.6,48
Boone County,Arkansas,58.5,69.5,47.6
Bradley County,Arkansas,64,74.8,53.1
Calhoun County,Arkansas,63.3,74.3,52.3
Carroll County,Arkansas,58.2,69.1,47.4
Chicot County,Arkansas,64.4,74.5,54.3
Clark County,Arkansas,62.4,73.8,50.9
Clay County,Arkansas,59.8,70.1,49.5
Cleburne County,Arkansas,59.8,70.3,49.4
Cleveland County,Arkansas,62.6,73.1,52.1
Columbia County,Arkansas,64.1,75.3,53
Conway County,Arkansas,61.2,72.9,49.6
Craighead County,Arkansas,60.4,70,50.8
Crawford County,Arkansas,60.6,71.8,49.4
Crittenden County,Arkansas,62.3,71.9,52.7
Cross County,Arkansas,61.5,71.1,51.8
Dallas County,Arkansas,62.3,73.3,51.4
Desha County,Arkansas,63.3,72.8,53.8
Drew County,Arkansas,63.7,74,53.5
Faulkner County,Arkansas,61.1,72,50.2
Franklin County,Arkansas,60.3,71.2,49.3
Fulton County,Arkansas,58.7,69.8,47.6
Garland County,Arkansas,61.7,72.8,50.5
Grant County,Arkansas,62.3,73.3,51.3
Greene County,Arkansas,60.1,70,50.2
Hempstead County,Arkansas,63.2,74.4,52
Hot Spring County,Arkansas,62.1,73.3,50.9
Howard County,Arkansas,61.9,73.2,50.6
Independence County,Arkansas,59.5,69.8,49.2
Izard County,Arkansas,58.5,69.5,47.6
Jackson County,Arkansas,60.1,70,50.3
Jefferson County,Arkansas,62.5,72.8,52.1
Johnson County,Arkansas,59.5,70.3,48.8
Lafayette County,Arkansas,64.8,75.8,53.9
Lawrence County,Arkansas,59.6,69.5,49.7
Lee County,Arkansas,62.7,72.2,53.2
Lincoln County,Arkansas,63,73,53
Little River County,Arkansas,64.1,74.8,53.4
Logan County,Arkansas,60.9,72.3,49.4
Lonoke County,Arkansas,62,72.1,51.9
Madison County,Arkansas,57.8,68.2,47.3
Marion County,Arkansas,58.8,69.9,47.7
Miller County,Arkansas,65.1,75.6,54.6
Mississippi County,Arkansas,61.3,71.3,51.4
Monroe County,Arkansas,62.9,72.5,53.3
Montgomery County,Arkansas,61.2,72.6,49.7
Nevada County,Arkansas,63,74.5,51.7
Newton County,Arkansas,57.5,67.4,47.6
Ouachita County,Arkansas,63,74.1,51.9
Perry County,Arkansas,61.6,73.2,49.9
Phillips County,Arkansas,63.1,72.8,53.5
Pike County,Arkansas,61.7,73.2,50.1
Poinsett County,Arkansas,60.9,70.5,51.2
Polk County,Arkansas,60.1,71.1,49
Pope County,Arkansas,60.1,71.4,48.8
Prairie County,Arkansas,62.4,72,52.7
Pulaski County,Arkansas,61.9,72.5,51.3
Randolph County,Arkansas,59.5,70,48.9
St. Francis County,Arkansas,62.2,71.7,52.6
Saline County,Arkansas,61.7,72.5,51
Scott County,Arkansas,60.7,72.1,49.2
Searcy County,Arkansas,57.9,68.2,47.7
Sebastian County,Arkansas,61.6,73.1,50.1
Sevier County,Arkansas,62.9,74,51.7
Sharp County,Arkansas,58.7,69.3,48.1
Stone County,Arkansas,58.6,69.2,48
Union County,Arkansas,64.3,75.6,53
Van Buren County,Arkansas,59,69.7,48.3
Washington County,Arkansas,58.7,69.6,47.9
White County,Arkansas,61,71.1,50.8
Woodruff County,Arkansas,61.4,71.1,51.6
Yell County,Arkansas,61.3,73,49.4
Alameda County,California,60.4,71.3,49.4
Alpine County,California,46.4,58.1,34.7
Amador County,California,60,72.5,47.4
Butte County,California,61.9,74.6,49.1
Calaveras County,California,60.5,73.4,47.6
Colusa County,California,63.2,76.5,49.7
Contra Costa County,California,61.3,72.8,49.8
Del Norte County,California,53.3,63.6,43
El Dorado County,California,56.1,67.8,44.4
Fresno County,California,57.7,70.6,44.9
Glenn County,California,62.3,75.1,49.4
Humboldt County,California,54.7,65.2,44.2
Imperial County,California,75.7,89.6,61.8
Inyo County,California,63,75.8,50.1
Kern County,California,63.7,76.7,50.7
Kings County,California,65.3,78.9,51.7
Lake County,California,59.1,71.2,46.9
Lassen County,California,49.1,62.9,35.2
Los Angeles County,California,63.3,75.1,51.5
Madera County,California,58,71.3,44.7
Marin County,California,56.6,65.4,47.8
Mariposa County,California,57.2,70.5,43.9
Mendocino County,California,56.8,68.7,44.9
Merced County,California,63.4,76.2,50.6
Modoc County,California,49.3,63,35.6
Mono County,California,46.4,60.7,32.1
Monterey County,California,59.6,73.7,45.5
Napa County,California,60.6,73.7,47.5
Nevada County,California,54.4,66.6,42.1
Orange County,California,64.8,75.1,54.5
Placer County,California,55.8,67.9,43.6
Plumas County,California,49.4,62.9,35.9
Riverside County,California,70.1,83.1,57
Sacramento County,California,63.4,76.9,49.9
San Benito County,California,60.3,73.3,47.4
San Bernardino County,California,68.5,81,55.9
San Diego County,California,64.2,77.2,51.1
San Francisco County,California,57.2,64.7,49.7
San Joaquin County,California,63.7,77,50.4
San Luis Obispo County,California,60.9,75.2,46.7
San Mateo County,California,57.4,66.9,47.9
Santa Barbara County,California,59.6,71.8,47.5
Santa Clara County,California,59.4,71,47.7
Santa Cruz County,California,58.1,69.8,46.5
Shasta County,California,57.2,70.4,44
Sierra County,California,49.2,62.1,36.4
Siskiyou County,California,50.9,63,38.8
Solano County,California,62,74.9,49
Sonoma County,California,57.9,69.5,46.2
Stanislaus County,California,63,75.5,50.5
Sutter County,California,64.4,78.1,50.6
Tehama County,California,60.5,72.9,48.2
Trinity County,California,54.3,67.3,41.3
Tulare County,California,56.3,68.6,44
Tuolumne County,California,52.4,65,39.7
Ventura County,California,59.2,71.2,47.2
Yolo County,California,63.3,77.2,49.4
Yuba County,California,62.6,75.3,50
Adams County,Colorado,51.3,66.6,36
Alamosa County,Colorado,45.1,61.6,28.5
Arapahoe County,Colorado,50.9,66,35.8
Archuleta County,Colorado,45.4,59.6,31.3
Baca County,Colorado,54.6,70.4,38.9
Bent County,Colorado,54.7,70.7,38.8
Boulder County,Colorado,46.2,58.9,33.5
Broomfield County,Colorado,52,66.2,37.8
Chaffee County,Colorado,39.3,53,25.7
Cheyenne County,Colorado,53,68.2,37.9
Clear Creek County,Colorado,39,50.3,27.7
Conejos County,Colorado,42.3,56.6,27.9
Costilla County,Colorado,44.2,58.6,29.8
Crowley County,Colorado,53,69.3,36.6
Custer County,Colorado,42.9,56.3,29.6
Delta County,Colorado,48.8,61.6,36
Denver County,Colorado,52.3,66.4,38.2
Dolores County,Colorado,45.2,58.3,32
Douglas County,Colorado,48.7,62.5,34.8
Eagle County,Colorado,41.5,54.1,28.8
Elbert County,Colorado,49.6,64.7,34.5
El Paso County,Colorado,49.6,64,35.3
Fremont County,Colorado,46.7,61.2,32.2
Garfield County,Colorado,45.6,57.1,34.1
Gilpin County,Colorado,41,52.2,29.6
Grand County,Colorado,39.3,51.9,26.7
