Name,State,Avg 2022,Max 2022,Min 2022
Autauga County,Alabama,65.1,77.2,53.1
Baldwin County,Alabama,68.4,78.9,57.8
Barbour County,Alabama,65.4,77.1,53.7
Bibb County,Alabama,63.6,75.6,51.5
Blount County,Alabama,62.2,72.5,51.8
Bullock County,Alabama,64.8,76.5,53.1
Butler County,Alabama,65.2,77.2,53.1
Calhoun County,Alabama,62.3,74,50.6
Chambers County,Alabama,62.4,74.7,50.1
Cherokee County,Alabama,61.6,73.2,49.9
Chilton County,Alabama,64,76.1,51.8
Choctaw County,Alabama,65.8,77.7,53.8
Clarke County,Alabama,66,77.6,54.4
Clay County,Alabama,61.8,74.1,49.4
Cleburne County,Alabama,61.3,73,49.7
Coffee County,Alabama,66.3,78.2,54.3
Colbert County,Alabama,61.2,73.1,49.1
Conecuh County,Alabama,66.1,77.7,54.5
Coosa County,Alabama,63.4,75.8,51.1
Covington County,Alabama,66.4,78.6,54.2
Crenshaw County,Alabama,65.1,77.3,52.9
Cullman County,Alabama,61.7,71.9,51.4
Dale County,Alabama,66.5,78,55
Dallas County,Alabama,65.3,77.1,53.5
DeKalb County,Alabama,59.9,70.8,49.1
Elmore County,Alabama,64.7,76.7,52.8
Escambia County,Alabama,67,78.4,55.6
Etowah County,Alabama,62,73.2,50.9
Fayette County,Alabama,62.9,74.7,51.1
Franklin County,Alabama,61.1,72.7,49.4
Geneva County,Alabama,66.9,78.8,55
Greene County,Alabama,64.2,75.8,52.5
Hale County,Alabama,63.9,75.6,52.2
Henry County,Alabama,66.5,77.7,55.2
Houston County,Alabama,67.2,78.5,55.8
Jackson County,Alabama,60.1,70.8,49.4
Jefferson County,Alabama,63.1,74.9,51.4
Lamar County,Alabama,63.2,75,51.4
Lauderdale County,Alabama,60.4,72.4,48.3
Lawrence County,Alabama,60.6,72.2,48.9
Lee County,Alabama,63.3,75.2,51.4
Limestone County,Alabama,60.3,71.7,49
Lowndes County,Alabama,65.6,77.5,53.6
Macon County,Alabama,64.4,76.2,52.6
Madison County,Alabama,60.6,71.7,49.6
Marengo County,Alabama,64.9,76.7,53.1
Marion County,Alabama,61.6,73.4,49.9
Marshall County,Alabama,61.4,71.9,51
Mobile County,Alabama,67.9,78.9,56.9
Monroe County,Alabama,66.2,77.6,54.8
Montgomery County,Alabama,65.5,77.4,53.5
Morgan County,Alabama,61.2,71.8,50.5
Perry County,Alabama,64.2,76,52.4
Pickens County,Alabama,64.1,75.8,52.3
Pike County,Alabama,65.3,77.1,53.6
Randolph County,Alabama,61.8,74,49.7
Russell County,Alabama,64.4,76.7,52.1
St. Clair County,Alabama,62.3,74,50.6
Shelby County,Alabama,63.2,75.6,50.9
Sumter County,Alabama,64.7,76.5,52.8
Talladega County,Alabama,62.8,75.3,50.2
Tallapoosa County,Alabama,62.9,75.3,50.5
Tuscaloosa County,Alabama,63.7,75.3,52.2
Walker County,Alabama,62.6,74.3,50.9
Washington County,Alabama,66.6,78.5,54.6
Wilcox County,Alabama,65.6,77.3,53.9
Winston County,Alabama,60.9,72.5,49.3
Apache County,Arizona,51.2,65.9,36.4
Cochise County,Arizona,60.9,76.8,45.1
Coconino County,Arizona,54,68.3,39.6
Gila County,Arizona,60.4,74.1,46.6
Graham County,Arizona,61.2,75.2,47.2
Greenlee County,Arizona,57.3,70.9,43.5
La Paz County,Arizona,72.8,86.3,59.4
Maricopa County,Arizona,71.3,84.9,57.7
Mohave County,Arizona,63.8,76.6,51
Navajo County,Arizona,52.6,67.5,37.7
Pima County,Arizona,68,83.5,52.5
Pinal County,Arizona,69.4,83.3,55.4
Santa Cruz County,Arizona,60.7,76.4,45
Yavapai County,Arizona,60.9,75.5,46.2
Yuma County,Arizona,73.5,88.1,58.9
Arkansas County,Arkansas,63,73.3,52.8
Ashley County,Arkansas,64.4,76.3,52.6
Baxter County,Arkansas,58.1,70.5,45.8
Benton County,Arkansas,58.2,70.1,46.3
Boone County,Arkansas,57.8,69.8,45.8
Bradley County,Arkansas,63.7,75.5,51.9
Calhoun County,Arkansas,63.1,75.2,51
Carroll County,Arkansas,57.5,69.3,45.8
Chicot County,Arkansas,64.4,75.8,53.1
Clark County,Arkansas,62.4,74.8,49.9
Clay County,Arkansas,59.2,70.2,48.1
Cleburne County,Arkansas,59.7,71,48.5
Cleveland County,Arkansas,62.9,74.3,51.5
Columbia County,Arkansas,63.4,75.5,51.4
Conway County,Arkansas,60.9,73,48.7
Craighead County,Arkansas,59.9,70.3,49.6
Crawford County,Arkansas,60.4,72.4,48.5
Crittenden County,Arkansas,61.9,72.5,51.3
Cross County,Arkansas,61.4,71.3,51.4
Dallas County,Arkansas,62.3,74.2,50.4
Desha County,Arkansas,63.3,73.8,52.7
Drew County,Arkansas,63.7,74.9,52.5
Faulkner County,Arkansas,61,72.6,49.4
Franklin County,Arkansas,60.1,71.9,48.3
Fulton County,Arkansas,57.9,70,45.9
Garland County,Arkansas,61.8,73.7,49.9
Grant County,Arkansas,62.6,74.4,50.8
Greene County,Arkansas,59.5,70,48.9
Hempstead County,Arkansas,63.3,75.3,51.2
Hot Spring County,Arkansas,62.3,74.2,50.4
Howard County,Arkansas,62.1,74.6,49.6
Independence County,Arkansas,59.1,70.1,48.1
Izard County,Arkansas,58.2,70.1,46.2
Jackson County,Arkansas,59.8,70.3,49.2
Jefferson County,Arkansas,63,74,51.9
Johnson County,Arkansas,59.3,70.9,47.8
Lafayette County,Arkansas,64.5,76.2,52.8
Lawrence County,Arkansas,58.9,69.5,48.4
Lee County,Arkansas,62.2,72.5,51.9
Lincoln County,Arkansas,63.4,74.2,52.5
Little River County,Arkansas,64.4,76.1,52.6
Logan County,Arkansas,60.8,73,48.7
Lonoke County,Arkansas,62.3,73.2,51.4
Madison County,Arkansas,57.4,68.8,46
Marion County,Arkansas,58.1,70.5,45.7
Miller County,Arkansas,65.2,76.6,53.9
Mississippi County,Arkansas,60.2,70.8,49.7
Monroe County,Arkansas,62.5,72.6,52.4
Montgomery County,Arkansas,61.3,73.7,48.9
Nevada County,Arkansas,62.9,75.4,50.4
Newton County,Arkansas,56.9,67.9,45.9
Ouachita County,Arkansas,62.8,75.3,50.2
Perry County,Arkansas,61.5,73.8,49.1
Phillips County,Arkansas,62.6,72.9,52.3
Pike County,Arkansas,61.8,74.4,49.3
Poinsett County,Arkansas,60.5,70.8,50.2
Polk County,Arkansas,60.4,72.7,48.1
Pope County,Arkansas,59.7,71.7,47.7
Prairie County,Arkansas,62.5,72.7,52.2
Pulaski County,Arkansas,62.1,73.5,50.7
Randolph County,Arkansas,58.6,69.8,47.4
St. Francis County,Arkansas,61.9,72.1,51.8
Saline County,Arkansas,62,73.4,50.4
Scott County,Arkansas,60.8,73.3,48.4
Searcy County,Arkansas,57.3,68.9,45.6
Sebastian County,Arkansas,61.6,73.9,49.3
Sevier County,Arkansas,63.2,75.6,50.7
Sharp County,Arkansas,57.9,69.1,46.7
Stone County,Arkansas,58.4,70,46.7
Union County,Arkansas,63.9,76.1,51.6
Van Buren County,Arkansas,58.7,70.4,47
Washington County,Arkansas,58.4,70.2,46.6
White County,Arkansas,61.2,72,50.5
Woodruff County,Arkansas,61.3,71.4,51.1
Yell County,Arkansas,61.3,73.9,48.6
Alameda County,California,60.4,72.2,48.5
Alpine County,California,45.6,57.5,33.7
Amador County,California,59.4,72.6,46.1
Butte County,California,62,75.7,48.2
Calaveras County,California,59.9,73.2,46.6
Colusa County,California,62.7,78,47.4
Contra Costa County,California,61.5,73.5,49.5
Del Norte County,California,53.5,63.9,43
El Dorado County,California,55.4,67.9,43
Fresno County,California,57.3,70.7,43.9
Glenn County,California,62,76.1,47.8
Humboldt County,California,54.1,65.1,43.2
Imperial County,California,75.7,89.2,62.3
Inyo County,California,62.3,75.5,49.1
Kern County,California,63.4,77.1,49.7
Kings County,California,65.1,79.2,51
Lake County,California,58.3,71.6,45
Lassen County,California,47.6,62.1,33
Los Angeles County,California,63.8,76.2,51.5
Madera County,California,57.9,72,43.8
Marin County,California,56.6,66.1,47.2
Mariposa County,California,56.6,70.4,42.8
Mendocino County,California,56.4,69,43.7
Merced County,California,63.4,76.8,50
Modoc County,California,48.4,62.4,34.4
Mono County,California,45.6,60.3,31
Monterey County,California,59.7,74.4,44.9
Napa County,California,60.6,74.2,46.9
Nevada County,California,53.8,66.4,41.2
Orange County,California,66.1,76.9,55.3
Placer County,California,55.1,67.8,42.3
Plumas County,California,48.3,62.4,34.1
Riverside County,California,70.4,83,57.7
Sacramento County,California,63.6,77.9,49.2
San Benito County,California,60,73.5,46.6
San Bernardino County,California,68,80.5,55.5
San Diego County,California,64.3,77.7,51
San Francisco County,California,57.3,65.3,49.2
San Joaquin County,California,63.6,78,49.2
San Luis Obispo County,California,60.8,75.7,45.8
San Mateo County,California,57,66.7,47.2
Santa Barbara County,California,59.7,72.8,46.6
Santa Clara County,California,59.4,71.6,47.2
Santa Cruz County,California,57.7,69.4,45.9
Shasta County,California,56.9,70.8,43.1
Sierra County,California,48.4,61.7,35.1
Siskiyou County,California,50.6,63.1,38.1
Solano County,California,62.2,75.5,48.8
Sonoma County,California,57.8,70.1,45.5
Stanislaus County,California,62.7,76.2,49.2
Sutter County,California,64.2,79.2,49.1
Tehama County,California,60.7,73.9,47.4
Trinity County,California,54.2,67.7,40.6
