Year,County,State,Administered_Dose_Count,Population,Avg Temp,Max Temp,Min Temp,Death Per 100k
2022.0,Aguas Buenas Municipio,Puerto Rico,22261.0,,,,,
2023.0,Aguas Buenas Municipio,Puerto Rico,22261.0,,,,,
2021.0,Aibonito Municipio,Puerto Rico,20655.0,,,,,
2022.0,Aibonito Municipio,Puerto Rico,22544.0,,,,,
2023.0,Aibonito Municipio,Puerto Rico,22544.0,,,,,
2021.0,Aiken County,South Carolina,92365.0,171247.0,64.6,75.9,53.4,3723.2541071529386
2022.0,Aiken County,South Carolina,99717.0,174228.0,64.7,76.0,53.5,3723.2541071529386
2023.0,Aiken County,South Carolina,100170.0,177130.0,65.0,76.1,53.9,3723.2541071529386
2021.0,Aitkin County,Minnesota,9743.0,15957.0,43.0,53.8,32.3,4750.962613339958
2022.0,Aitkin County,Minnesota,10323.0,16142.0,38.5,48.8,28.2,4750.962613339958
2023.0,Aitkin County,Minnesota,10358.0,16102.0,42.6,53.0,32.2,4750.962613339958
2021.0,Alachua County,Florida,195169.0,281889.0,69.9,80.7,59.0,5007.098051008064
2022.0,Alachua County,Florida,212811.0,284041.0,70.4,81.7,59.1,5007.098051008064
2023.0,Alachua County,Florida,214684.0,285994.0,71.3,82.6,60.0,5007.098051008064
2021.0,Alamance County,North Carolina,125473.0,173968.0,59.8,71.1,48.5,3726.1741969692735
2022.0,Alamance County,North Carolina,149607.0,176618.0,59.4,71.0,47.8,3726.1741969692735
2023.0,Alamance County,North Carolina,151112.0,179165.0,60.2,71.7,48.7,3726.1741969692735
2021.0,Alameda County,California,1474820.0,1644047.0,60.4,71.3,49.4,2427.770394060368
2022.0,Alameda County,California,1604178.0,1628259.0,60.4,72.2,48.5,2427.770394060368
2023.0,Alameda County,California,1590789.0,1622188.0,59.2,69.9,48.4,2427.770394060368
2021.0,Alamosa County,Colorado,9718.0,16579.0,45.1,61.6,28.5,3638.546982888022
2022.0,Alamosa County,Colorado,10609.0,16587.0,44.0,60.5,27.4,3638.546982888022
2023.0,Alamosa County,Colorado,10669.0,16655.0,43.9,60.4,27.4,3638.546982888022
2021.0,Albany County,New York,241655.0,316178.0,49.4,58.8,39.9,4840.538244610133
2022.0,Albany County,New York,267665.0,315921.0,48.6,59.4,37.9,4840.538244610133
2023.0,Albany County,New York,269750.0,316659.0,50.4,60.1,40.6,4840.538244610133
2021.0,Albany County,Wyoming,23045.0,37854.0,42.4,55.1,29.8,2036.22866403534
2022.0,Albany County,Wyoming,25405.0,38178.0,41.1,53.8,28.3,2036.22866403534
2023.0,Albany County,Wyoming,25550.0,38257.0,40.5,52.9,28.1,2036.22866403534
2021.0,Albemarle County,Virginia,78080.0,113882.0,57.8,68.8,46.9,3326.532729347488
2022.0,Albemarle County,Virginia,87644.0,114845.0,56.7,67.6,45.8,3326.532729347488
2023.0,Albemarle County,Virginia,88416.0,115676.0,58.5,69.9,47.1,3326.532729347488
2021.0,Alcona County,Michigan,6046.0,10295.0,46.8,56.6,37.1,4175.803222423491
2022.0,Alcona County,Michigan,6286.0,10397.0,44.5,54.6,34.5,4175.803222423491
2023.0,Alcona County,Michigan,6301.0,10489.0,46.5,55.8,37.2,4175.803222423491
2021.0,Alcorn County,Mississippi,15589.0,34398.0,61.2,72.2,50.3,6354.181924710707
2022.0,Alcorn County,Mississippi,17240.0,34147.0,60.8,72.8,48.8,6354.181924710707
2023.0,Alcorn County,Mississippi,17301.0,34135.0,62.5,74.0,51.0,6354.181924710707
2021.0,Aleutians East Borough,Alaska,2686.0,3417.0,,,,722.334585379948
2022.0,Aleutians East Borough,Alaska,2899.0,3430.0,,,,722.334585379948
